country,year,dev_level,region,equities,bonds,real_estate,commodities,cash,shock_event
Canada,2017,developed,NorthAmerica,-5.23,-8.16,20.49,25.93,2.4,
Canada,2018,developed,NorthAmerica,13.34,-3.43,6.99,29.81,2.31,
Canada,2019,developed,NorthAmerica,7.35,-5.48,21.96,2.24,1.17,
Canada,2020,developed,NorthAmerica,-15.66,0.09,-1.75,4.64,1.75,COVID-19
Canada,2021,developed,NorthAmerica,20.24,3.41,16.64,-1.94,3.24,COVID recovery / stimulus
Canada,2022,developed,NorthAmerica,-2.06,-2.46,-4.4,0.51,2.37,Inflation / rate hike cycle
Canada,2023,developed,NorthAmerica,12.31,-9.9,6.89,-15.51,3.21,Rates plateau
Canada,2024,developed,NorthAmerica,18.61,10.73,-1.54,2.75,3.13,
UK,1985,developed,Europe,-0.86,-0.25,11.73,-4.02,4.74,
UK,1986,developed,Europe,16.02,-2.57,3.52,-8.4,3.91,
UK,1987,developed,Europe,-14.45,-2.92,-1.47,13.22,3.91,Black Monday
UK,1988,developed,Europe,27.13,5.03,5.95,15.63,2.98,
UK,1989,developed,Europe,-11.78,4.46,-1.96,2.76,3.7,
UK,1990,developed,Europe,9.64,5.78,10.44,7.04,3.66,Gulf War / S&L crisis
UK,1991,developed,Europe,6.26,0.02,2.12,42.75,3.1,Recession
UK,1992,developed,Europe,10.94,-0.48,11.58,15.01,3.74,
UK,1993,developed,Europe,9.48,7.27,14.63,8.21,3.29,
UK,1994,developed,Europe,17.98,-1.35,-1.1,2.71,2.79,
UK,1995,developed,Europe,18.57,-2.81,2.05,0.75,3.11,
UK,1996,developed,Europe,4.63,1.35,4.67,-2.65,3.37,
UK,1997,developed,Europe,14.33,-5.62,-0.68,-4.53,3.59,Asian Financial Crisis
UK,1998,developed,Europe,-14.23,2.51,1.87,18.56,3.04,LTCM / Russia default
UK,1999,developed,Europe,-6.14,0.69,12.25,-14.54,3.39,
UK,2000,developed,Europe,9.67,1.44,28.23,-2.83,3.04,
UK,2001,developed,Europe,-4.56,6.87,11.07,-5.97,2.52,Dot-com bust / 9-11
UK,2002,developed,Europe,-3.47,-3.3,13.61,-4.75,2.09,Corporate scandals
UK,2003,developed,Europe,30.14,-0.47,4.11,27.92,2.95,
UK,2004,developed,Europe,9.41,-3.47,-5.3,1.1,2.88,
UK,2005,developed,Europe,14.93,1.38,8.2,-24.42,2.73,
UK,2006,developed,Europe,12.59,13.29,7.76,-10.81,2.48,
UK,2007,developed,Europe,6.39,7.88,9.15,-16.47,1.1,
UK,2008,developed,Europe,-3.63,13.35,-0.77,13.79,1.69,Global Financial Crisis
UK,2009,developed,Europe,-6.1,1.92,-1.65,20.15,1.88,GFC trough
UK,2010,developed,Europe,11.14,0.89,1.82,1.97,2.02,
UK,2011,developed,Europe,16.29,-9.31,3.87,2.65,1.47,Euro debt crisis
UK,2012,developed,Europe,13.3,-2.17,2.43,32.1,2.34,
UK,2013,developed,Europe,15.2,2.94,5.79,34.43,2.22,
UK,2014,developed,Europe,0.08,-6.86,11.69,3.92,1.87,
UK,2015,developed,Europe,9.28,2.59,8.53,9.84,2.0,China slowdown
UK,2016,developed,Europe,13.55,1.91,1.61,-4.89,2.75,
UK,2017,developed,Europe,2.45,9.01,18.92,-7.06,1.84,
UK,2018,developed,Europe,19.31,0.64,-2.37,-4.98,3.17,
UK,2019,developed,Europe,22.75,4.01,14.87,10.9,3.26,
UK,2020,developed,Europe,-16.04,10.1,0.33,16.31,3.08,COVID-19
UK,2021,developed,Europe,8.05,3.96,0.14,-12.7,3.6,COVID recovery / stimulus
UK,2022,developed,Europe,-1.8,3.05,10.83,-15.59,3.29,Inflation / rate hike cycle
UK,2023,developed,Europe,-3.38,6.08,-4.54,-2.48,3.8,Rates plateau
UK,2024,developed,Europe,10.07,1.88,-3.45,-0.14,4.52,
Germany,1985,developed,Europe,-1.87,-0.91,16.93,4.51,3.1,
Germany,1986,developed,Europe,14.48,4.63,3.99,15.24,3.14,
Germany,1987,developed,Europe,20.37,0.18,16.05,-3.36,2.3,Black Monday
Germany,1988,developed,Europe,10.69,8.73,13.4,-1.06,2.67,
Germany,1989,developed,Europe,12.93,2.18,2.55,8.79,2.37,
Germany,1990,developed,Europe,-9.33,10.57,1.78,25.88,2.11,Gulf War / S&L crisis
Germany,1991,developed,Europe,3.04,3.2,-2.97,-5.34,2.89,Recession
Germany,1992,developed,Europe,10.48,3.98,-6.96,-24.26,1.6,
Germany,1993,developed,Europe,3.44,6.06,-8.57,0.44,1.64,
Germany,1994,developed,Europe,32.57,-4.28,4.47,-10.24,1.3,
Germany,1995,developed,Europe,-0.36,14.16,12.21,0.48,1.47,
Germany,1996,developed,Europe,14.22,6.91,5.82,-17.9,0.93,
Germany,1997,developed,Europe,34.16,9.68,10.05,-12.9,1.39,Asian Financial Crisis
Germany,1998,developed,Europe,-10.41,0.08,2.52,30.65,1.45,LTCM / Russia default
Germany,1999,developed,Europe,5.38,2.69,-3.06,3.5,0.86,
Germany,2000,developed,Europe,20.84,10.67,8.89,10.64,0.5,
Germany,2001,developed,Europe,12.1,3.11,10.16,7.98,1.25,Dot-com bust / 9-11
Germany,2002,developed,Europe,17.47,-1.39,-0.13,-2.07,0.38,Corporate scandals
Germany,2003,developed,Europe,6.32,3.54,20.73,4.72,1.16,
Germany,2004,developed,Europe,15.61,2.94,11.99,13.42,1.08,
Germany,2005,developed,Europe,8.1,-1.3,-3.84,-2.87,0.0,
Germany,2006,developed,Europe,32.5,9.14,5.61,-14.34,0.74,
Germany,2007,developed,Europe,-0.49,-0.4,5.63,4.56,0.64,
Germany,2008,developed,Europe,7.0,12.37,-0.71,16.65,0.52,Global Financial Crisis
Germany,2009,developed,Europe,-29.8,6.64,-6.68,-9.07,0.0,GFC trough
Germany,2010,developed,Europe,-2.72,11.34,20.24,-24.12,0.0,
Germany,2011,developed,Europe,-6.56,12.1,4.65,-9.37,0.41,Euro debt crisis
Germany,2012,developed,Europe,19.88,5.93,2.83,6.53,0.18,
Germany,2013,developed,Europe,10.47,3.01,20.04,6.24,0.31,
Germany,2014,developed,Europe,29.74,8.0,8.76,18.03,0.14,
Germany,2015,developed,Europe,42.29,7.75,16.91,6.51,0.0,China slowdown
Germany,2016,developed,Europe,11.32,6.22,16.6,20.08,0.7,
Germany,2017,developed,Europe,7.18,2.51,0.38,27.96,0.83,
Germany,2018,developed,Europe,22.82,5.65,11.98,1.27,1.1,
Germany,2019,developed,Europe,-1.38,11.89,9.56,20.35,2.04,
Germany,2020,developed,Europe,-11.1,9.66,-0.88,-16.2,1.59,COVID-19
Germany,2021,developed,Europe,19.13,-0.7,6.21,1.29,2.93,COVID recovery / stimulus
Germany,2022,developed,Europe,-17.14,2.4,0.89,-5.07,3.43,Inflation / rate hike cycle
Germany,2023,developed,Europe,12.61,3.64,3.49,21.1,4.5,Rates plateau
Germany,2024,developed,Europe,16.67,-2.6,7.57,12.23,3.75,
France,1985,developed,Europe,-9.68,-5.04,6.65,7.12,2.79,
France,1986,developed,Europe,22.74,7.35,17.83,7.56,2.49,
France,1987,developed,Europe,9.18,11.47,-0.02,-20.28,1.89,Black Monday
France,1988,developed,Europe,-3.08,11.94,5.4,28.13,0.5,
France,1989,developed,Europe,11.6,11.68,1.8,0.57,1.26,
France,1990,developed,Europe,-0.99,5.37,-3.65,1.29,1.89,Gulf War / S&L crisis
France,1991,developed,Europe,1.51,-0.6,12.74,13.94,1.76,Recession
France,1992,developed,Europe,-6.65,-1.33,11.53,7.54,2.4,
France,1993,developed,Europe,5.22,-0.69,14.73,-5.11,2.15,
France,1994,developed,Europe,-8.99,0.65,16.04,-7.37,2.11,
France,1995,developed,Europe,-16.97,1.87,7.42,28.98,1.48,
France,1996,developed,Europe,21.88,11.73,5.42,-3.58,1.4,
France,1997,developed,Europe,-8.58,5.09,19.08,9.21,0.79,Asian Financial Crisis
France,1998,developed,Europe,11.09,9.71,15.46,-6.69,1.34,LTCM / Russia default
France,1999,developed,Europe,28.73,8.53,4.23,-12.67,0.9,
France,2000,developed,Europe,10.05,-4.63,12.04,22.41,1.85,
France,2001,developed,Europe,-4.54,1.58,6.75,0.08,1.98,Dot-com bust / 9-11
France,2002,developed,Europe,12.42,9.79,-3.77,6.23,1.81,Corporate scandals
France,2003,developed,Europe,8.58,11.0,16.7,23.06,1.32,
France,2004,developed,Europe,7.73,4.38,-6.32,22.59,1.84,
France,2005,developed,Europe,15.06,8.86,-2.91,-11.3,2.76,
France,2006,developed,Europe,15.26,2.24,8.4,18.9,2.1,
France,2007,developed,Europe,-7.25,15.23,16.69,-0.4,1.12,
France,2008,developed,Europe,8.71,12.15,-10.78,-3.36,1.89,Global Financial Crisis
France,2009,developed,Europe,-5.83,6.38,-7.24,26.88,0.46,GFC trough
France,2010,developed,Europe,23.38,9.74,18.59,-11.21,0.15,
France,2011,developed,Europe,10.96,13.39,11.55,-7.3,0.15,Euro debt crisis
France,2012,developed,Europe,-9.66,-6.78,16.62,-2.75,0.63,
France,2013,developed,Europe,21.77,13.36,15.71,31.13,0.35,
France,2014,developed,Europe,18.27,6.41,3.19,16.93,0.0,
France,2015,developed,Europe,8.34,5.43,6.95,-4.43,0.91,China slowdown
France,2016,developed,Europe,29.01,1.22,9.04,-16.42,1.15,
France,2017,developed,Europe,10.36,-4.07,12.54,8.96,0.96,
France,2018,developed,Europe,13.95,3.05,28.65,2.77,0.82,
France,2019,developed,Europe,5.82,8.36,-0.89,-4.19,0.61,
France,2020,developed,Europe,-15.32,16.97,-5.95,10.75,1.09,COVID-19
France,2021,developed,Europe,9.79,10.23,14.77,4.39,0.45,COVID recovery / stimulus
France,2022,developed,Europe,25.2,1.08,-1.86,-12.29,0.81,Inflation / rate hike cycle
France,2023,developed,Europe,17.26,2.5,-11.7,-7.35,1.35,Rates plateau
France,2024,developed,Europe,6.59,5.42,3.36,18.28,1.37,
Italy,1985,developed,Europe,13.59,0.78,6.8,11.66,4.26,
Italy,1986,developed,Europe,10.99,3.82,10.78,11.02,5.1,
Italy,1987,developed,Europe,-9.48,-0.76,-1.04,2.19,5.28,Black Monday
Italy,1988,developed,Europe,-10.45,-7.63,-25.82,1.65,6.38,
Italy,1989,developed,Europe,27.21,-2.39,2.25,-18.26,4.96,
Italy,1990,developed,Europe,-14.69,2.57,-3.04,7.02,4.88,Gulf War / S&L crisis
Italy,1991,developed,Europe,-2.69,2.27,-9.37,-16.29,4.24,Recession
Italy,1992,developed,Europe,8.55,0.95,-16.23,2.9,4.63,
Italy,1993,developed,Europe,22.15,1.34,5.7,19.5,4.21,
Italy,1994,developed,Europe,3.92,6.73,1.35,8.65,4.33,
Italy,1995,developed,Europe,9.79,1.56,2.32,16.98,5.6,
Italy,1996,developed,Europe,3.17,7.89,2.18,25.44,5.77,
Italy,1997,developed,Europe,-7.01,10.32,-11.66,-17.59,5.62,Asian Financial Crisis
Italy,1998,developed,Europe,-10.72,-0.92,-2.38,24.22,4.38,LTCM / Russia default
Italy,1999,developed,Europe,9.62,-8.42,-6.2,30.91,4.74,
Italy,2000,developed,Europe,2.35,8.59,-14.19,4.05,4.6,
Italy,2001,developed,Europe,17.22,-0.47,-6.73,-11.45,3.87,Dot-com bust / 9-11
Italy,2002,developed,Europe,9.56,6.54,-6.87,-5.52,3.62,Corporate scandals
Italy,2003,developed,Europe,-3.8,0.05,-0.32,-3.03,3.04,
Italy,2004,developed,Europe,5.42,7.29,-2.88,0.21,4.67,
Italy,2005,developed,Europe,30.55,1.32,-4.21,-13.76,3.99,
Italy,2006,developed,Europe,-1.08,6.86,17.95,2.39,4.1,
Italy,2007,developed,Europe,11.15,1.89,11.37,-9.88,4.07,
Italy,2008,developed,Europe,-21.58,5.5,-17.55,-12.76,3.59,Global Financial Crisis
Italy,2009,developed,Europe,-43.33,6.92,-11.58,13.11,3.06,GFC trough
Italy,2010,developed,Europe,-8.19,2.48,-0.73,25.39,2.78,
Italy,2011,developed,Europe,-10.16,-2.29,-13.09,8.07,4.01,Euro debt crisis
Italy,2012,developed,Europe,17.77,7.37,19.77,2.92,4.24,
Italy,2013,developed,Europe,-12.05,4.91,2.38,14.07,3.84,
Italy,2014,developed,Europe,8.9,3.04,2.72,-6.25,4.88,
Italy,2015,developed,Europe,29.56,-3.59,7.77,-39.3,4.47,China slowdown
Italy,2016,developed,Europe,-16.55,-0.51,-8.42,0.67,4.95,
Italy,2017,developed,Europe,-17.02,2.11,-1.47,26.94,4.1,
Italy,2018,developed,Europe,-6.54,1.11,16.47,14.04,3.74,
Italy,2019,developed,Europe,5.07,0.98,0.2,-21.81,3.74,
Italy,2020,developed,Europe,6.83,5.0,-6.57,3.54,4.15,COVID-19
Italy,2021,developed,Europe,7.31,7.19,-0.54,0.11,3.71,COVID recovery / stimulus
Italy,2022,developed,Europe,-5.79,2.04,8.87,-8.74,3.72,Inflation / rate hike cycle
Italy,2023,developed,Europe,10.23,-0.47,9.44,4.4,3.82,Rates plateau
Italy,2024,developed,Europe,-22.25,2.63,4.25,29.3,3.77,
Spain,1985,developed,Europe,20.73,-3.15,2.75,21.87,3.83,
Spain,1986,developed,Europe,18.88,7.56,6.6,-1.75,3.3,
Spain,1987,developed,Europe,25.23,8.1,4.93,-3.65,3.7,Black Monday
Spain,1988,developed,Europe,10.13,6.26,11.17,-8.71,2.8,
Spain,1989,developed,Europe,9.35,-4.59,2.95,-4.57,3.31,
Spain,1990,developed,Europe,30.4,-6.61,22.47,-0.18,3.42,Gulf War / S&L crisis
Spain,1991,developed,Europe,-11.12,9.04,4.54,2.08,2.42,Recession
Spain,1992,developed,Europe,9.01,7.14,3.5,21.2,3.56,
Spain,1993,developed,Europe,2.21,10.18,7.12,4.58,2.94,
Spain,1994,developed,Europe,7.64,-12.13,2.65,-16.06,4.07,
Spain,1995,developed,Europe,26.55,4.66,2.13,-10.52,3.8,
Spain,1996,developed,Europe,32.05,-0.57,-14.14,18.97,4.44,
Spain,1997,developed,Europe,22.91,8.01,10.86,4.08,3.29,Asian Financial Crisis
Spain,1998,developed,Europe,7.07,5.98,3.07,0.52,3.16,LTCM / Russia default
Spain,1999,developed,Europe,-1.02,12.2,21.37,3.36,3.87,
Spain,2000,developed,Europe,-0.78,7.35,21.35,-19.96,3.17,
Spain,2001,developed,Europe,12.66,7.25,17.41,33.14,3.04,Dot-com bust / 9-11
Spain,2002,developed,Europe,14.58,6.1,-0.22,6.3,3.01,Corporate scandals
Spain,2003,developed,Europe,10.17,0.54,1.58,-4.07,2.76,
Spain,2004,developed,Europe,12.12,5.66,13.57,-9.56,2.89,
Spain,2005,developed,Europe,24.16,1.75,3.89,1.18,3.71,
Spain,2006,developed,Europe,23.17,8.26,6.18,-9.44,3.76,
Spain,2007,developed,Europe,20.14,0.23,17.63,-4.35,3.73,
Spain,2008,developed,Europe,7.15,1.29,-1.47,13.55,4.13,Global Financial Crisis
Spain,2009,developed,Europe,-17.12,13.6,-4.6,-16.91,3.31,GFC trough
Spain,2010,developed,Europe,2.3,-0.75,3.12,17.42,4.25,
Spain,2011,developed,Europe,-6.3,3.41,-0.53,6.32,4.39,Euro debt crisis
Spain,2012,developed,Europe,7.75,-3.09,-2.52,5.73,4.48,
Spain,2013,developed,Europe,19.94,10.82,1.64,15.44,4.77,
Spain,2014,developed,Europe,9.88,-2.18,0.44,48.92,5.15,
Spain,2015,developed,Europe,-2.63,4.32,-0.47,-10.78,4.93,China slowdown
Spain,2016,developed,Europe,24.09,2.25,2.19,-0.3,5.17,
Spain,2017,developed,Europe,13.9,-14.5,23.95,6.99,4.8,
Spain,2018,developed,Europe,24.45,3.23,11.37,-2.14,4.22,
Spain,2019,developed,Europe,15.47,5.97,0.65,-5.87,5.03,
Spain,2020,developed,Europe,-13.14,2.46,-9.19,1.32,4.16,COVID-19
Spain,2021,developed,Europe,3.03,0.29,6.03,22.3,5.19,COVID recovery / stimulus
Spain,2022,developed,Europe,20.58,3.91,-1.73,-4.58,5.05,Inflation / rate hike cycle
Spain,2023,developed,Europe,10.81,6.5,5.73,1.89,4.96,Rates plateau
Spain,2024,developed,Europe,17.69,6.6,0.44,-8.51,4.12,
Netherlands,1985,developed,Europe,0.53,4.53,10.03,-17.8,3.0,
Netherlands,1986,developed,Europe,11.84,-1.5,9.86,-1.07,2.62,
Netherlands,1987,developed,Europe,10.06,5.17,0.48,-0.48,2.38,Black Monday
Netherlands,1988,developed,Europe,2.05,-6.33,-5.32,-2.4,2.9,
Netherlands,1989,developed,Europe,4.89,9.59,-5.97,-0.05,4.51,
Netherlands,1990,developed,Europe,9.25,3.55,1.53,8.89,3.89,Gulf War / S&L crisis
Netherlands,1991,developed,Europe,-2.88,0.73,-8.62,4.42,2.94,Recession
Netherlands,1992,developed,Europe,1.12,-2.97,12.81,-3.46,3.66,
Netherlands,1993,developed,Europe,-11.55,4.36,-5.45,-3.16,4.57,
Netherlands,1994,developed,Europe,19.59,3.39,30.4,-10.65,4.04,
Netherlands,1995,developed,Europe,-9.06,4.66,-4.68,6.17,3.14,
Netherlands,1996,developed,Europe,6.9,9.76,2.36,7.82,3.38,
Netherlands,1997,developed,Europe,-13.73,-0.11,2.48,12.38,4.13,Asian Financial Crisis
Netherlands,1998,developed,Europe,3.52,0.6,-3.57,8.48,3.61,LTCM / Russia default
Netherlands,1999,developed,Europe,10.36,0.99,13.33,-4.45,2.73,
Netherlands,2000,developed,Europe,19.74,-12.22,4.83,-13.88,3.11,
Netherlands,2001,developed,Europe,2.39,3.44,5.4,-7.04,2.5,Dot-com bust / 9-11
Netherlands,2002,developed,Europe,8.38,4.62,2.4,-13.36,2.07,Corporate scandals
Netherlands,2003,developed,Europe,9.2,7.68,-4.17,13.7,2.23,
Netherlands,2004,developed,Europe,18.04,6.59,10.54,35.56,2.35,
Netherlands,2005,developed,Europe,-5.32,-4.43,19.86,30.06,2.19,
Netherlands,2006,developed,Europe,1.62,2.1,17.01,-16.12,2.24,
Netherlands,2007,developed,Europe,36.84,4.04,10.91,0.61,3.06,
Netherlands,2008,developed,Europe,-22.56,0.7,-0.99,-32.03,2.77,Global Financial Crisis
Netherlands,2009,developed,Europe,-12.42,5.32,-8.63,-13.39,2.54,GFC trough
Netherlands,2010,developed,Europe,4.92,4.49,-7.64,3.46,2.47,
Netherlands,2011,developed,Europe,-4.43,-5.43,7.26,-15.88,2.74,Euro debt crisis
Netherlands,2012,developed,Europe,-4.71,0.93,13.47,11.72,3.01,
Netherlands,2013,developed,Europe,11.02,3.06,-9.47,-0.37,3.07,
Netherlands,2014,developed,Europe,26.56,-2.06,10.18,7.88,3.13,
Netherlands,2015,developed,Europe,7.05,4.36,-8.53,-19.71,2.93,China slowdown
Netherlands,2016,developed,Europe,20.99,2.95,13.08,-5.38,4.12,
Netherlands,2017,developed,Europe,5.29,8.56,15.74,16.08,5.1,
Netherlands,2018,developed,Europe,22.36,-0.47,-1.06,2.48,4.62,
Netherlands,2019,developed,Europe,7.06,-4.02,12.72,12.19,4.74,
Netherlands,2020,developed,Europe,-27.87,15.38,-18.13,-16.19,3.75,COVID-19
Netherlands,2021,developed,Europe,24.24,4.38,2.6,-8.58,3.51,COVID recovery / stimulus
Netherlands,2022,developed,Europe,15.7,5.69,10.66,9.77,3.82,Inflation / rate hike cycle
Netherlands,2023,developed,Europe,-14.86,5.44,-5.14,-4.88,4.98,Rates plateau
Netherlands,2024,developed,Europe,12.87,6.42,2.64,-6.33,5.42,
Sweden,1985,developed,Europe,-4.1,1.1,-12.68,-19.58,3.08,
Sweden,1986,developed,Europe,41.45,-7.92,-1.34,7.45,3.39,
Sweden,1987,developed,Europe,9.42,4.51,1.87,-3.56,3.27,Black Monday
Sweden,1988,developed,Europe,4.54,5.49,-4.36,17.24,2.8,
Sweden,1989,developed,Europe,9.7,-7.02,0.47,22.15,2.75,
Sweden,1990,developed,Europe,9.1,-1.75,3.41,-17.06,3.48,Gulf War / S&L crisis
Sweden,1991,developed,Europe,8.1,4.87,-5.37,-1.78,4.03,Recession
Sweden,1992,developed,Europe,5.74,1.26,20.35,-10.62,3.81,
Sweden,1993,developed,Europe,-4.62,3.55,11.33,-3.03,3.14,
Sweden,1994,developed,Europe,-13.93,-1.51,10.09,-12.11,3.62,
Sweden,1995,developed,Europe,-8.2,0.75,-3.51,2.76,3.4,
Sweden,1996,developed,Europe,-5.39,-1.43,-2.17,-15.74,3.91,
Sweden,1997,developed,Europe,-0.08,-8.44,-3.08,17.06,3.78,Asian Financial Crisis
Sweden,1998,developed,Europe,25.6,0.03,8.84,18.17,3.41,LTCM / Russia default
Sweden,1999,developed,Europe,-4.23,-1.52,16.99,-8.75,3.58,
Sweden,2000,developed,Europe,7.04,3.93,-3.48,-5.82,3.04,
Sweden,2001,developed,Europe,9.08,6.14,8.42,-5.2,2.6,Dot-com bust / 9-11
Sweden,2002,developed,Europe,10.02,-0.95,15.06,1.12,2.12,Corporate scandals
Sweden,2003,developed,Europe,20.38,3.53,-2.02,-12.9,2.06,
Sweden,2004,developed,Europe,12.54,-4.0,11.16,-5.52,2.28,
Sweden,2005,developed,Europe,-1.21,7.5,-7.47,-8.96,3.04,
Sweden,2006,developed,Europe,28.18,6.04,-0.97,26.33,2.94,
Sweden,2007,developed,Europe,12.75,7.5,-0.41,13.13,2.67,
Sweden,2008,developed,Europe,0.15,-2.53,-1.69,-4.75,3.39,Global Financial Crisis
Sweden,2009,developed,Europe,-9.92,14.07,-0.12,-0.68,2.68,GFC trough
Sweden,2010,developed,Europe,13.7,7.87,-13.82,-12.03,2.54,
Sweden,2011,developed,Europe,-10.75,8.29,9.62,-7.76,1.89,Euro debt crisis
