country,region,dev_level,year,gdp_growth,gdp_level,inflation,policy_rate,unemployment,current_account,debt_to_gdp,fx_change,biz_confidence,fin_stress_idx,shock_event
USA,NorthAmerica,developed,2003,-0.459,122.55,1.61,2.512,5.159,-0.868,102.85,-0.05,45.98,0.0,
USA,NorthAmerica,developed,2004,-0.724,121.67,1.399,2.225,6.246,-2.739,107.72,-0.668,45.0,0.0,
USA,NorthAmerica,developed,2005,-0.497,121.06,1.039,2.789,4.838,-1.323,108.97,2.301,50.16,0.0,
USA,NorthAmerica,developed,2006,0.158,121.25,1.299,2.263,5.144,-3.91,109.21,-2.196,50.83,0.0,
USA,NorthAmerica,developed,2007,1.691,123.3,1.667,2.228,4.297,-0.388,111.87,-0.572,56.7,0.0,
USA,NorthAmerica,developed,2008,-2.349,120.41,4.112,2.566,5.562,-5.736,119.04,1.533,38.15,3.0,Global Financial Crisis
USA,NorthAmerica,developed,2009,-3.76,115.88,2.204,1.887,7.202,-3.789,123.08,-0.258,41.7,2.5,GFC trough
USA,NorthAmerica,developed,2010,-2.141,113.4,2.778,1.098,6.046,-4.686,123.69,-1.84,44.72,0.0,
USA,NorthAmerica,developed,2011,-0.931,112.34,2.222,1.226,5.223,-3.655,128.49,1.16,50.95,0.6,Euro debt crisis
USA,NorthAmerica,developed,2012,-0.166,112.16,1.721,1.177,5.204,-2.647,128.82,0.415,50.35,0.0,
USA,NorthAmerica,developed,2013,2.011,114.41,3.378,1.42,3.851,-5.927,129.59,0.368,57.64,0.0,
USA,NorthAmerica,developed,2014,1.696,116.35,2.679,0.928,4.071,-5.125,130.38,-1.807,53.11,0.0,
USA,NorthAmerica,developed,2015,0.542,116.98,1.12,1.783,4.085,-5.194,136.63,6.224,46.77,0.4,China slowdown
USA,NorthAmerica,developed,2016,0.811,117.93,1.669,2.494,4.101,-3.491,140.96,1.119,50.49,0.0,
USA,NorthAmerica,developed,2017,1.153,119.29,0.735,2.126,4.29,-2.536,142.41,1.473,55.34,0.0,
USA,NorthAmerica,developed,2018,1.583,121.18,1.37,2.105,4.209,-4.443,145.46,0.145,59.45,0.0,
USA,NorthAmerica,developed,2019,2.756,124.52,1.904,1.97,3.066,-0.618,148.02,1.139,50.28,0.0,
USA,NorthAmerica,developed,2020,-1.751,122.34,2.037,1.407,5.64,-2.473,151.56,-0.927,40.14,2.8,COVID-19
USA,NorthAmerica,developed,2021,2.903,125.89,5.057,1.375,3.43,-2.647,153.92,-1.511,50.14,0.2,COVID recovery / stimulus
USA,NorthAmerica,developed,2022,1.499,127.78,9.427,2.639,4.682,-3.657,156.67,-4.184,49.99,1.0,Inflation / rate hike cycle
USA,NorthAmerica,developed,2023,2.029,130.37,7.458,4.616,4.574,-2.122,163.76,-0.609,55.74,0.4,Rates plateau
USA,NorthAmerica,developed,2024,1.969,132.94,6.52,5.109,4.51,-5.357,169.24,-1.587,57.45,0.0,
Canada,NorthAmerica,developed,1985,2.751,102.75,3.757,4.854,2.839,-0.134,59.7,-1.474,60.51,0.0,
Canada,NorthAmerica,developed,1986,3.02,105.85,2.906,4.541,3.506,-2.433,60.27,0.442,60.03,0.0,
Canada,NorthAmerica,developed,1987,2.906,108.93,1.036,4.372,3.583,0.828,65.5,-3.747,52.94,0.8,Black Monday
Canada,NorthAmerica,developed,1988,3.109,112.32,0.023,4.485,3.63,1.693,66.31,2.311,59.96,0.0,
Canada,NorthAmerica,developed,1989,3.046,115.74,0.666,4.239,3.045,-0.295,67.93,1.257,59.62,0.0,
Canada,NorthAmerica,developed,1990,1.505,117.48,1.103,4.497,3.876,-1.645,70.86,2.048,52.11,0.6,Gulf War / S&L crisis
Canada,NorthAmerica,developed,1991,1.601,119.36,2.154,4.704,4.477,4.655,73.02,-3.963,57.29,0.5,Recession
Canada,NorthAmerica,developed,1992,1.501,121.15,2.269,5.085,3.448,-2.503,72.48,-1.579,54.58,0.0,
Canada,NorthAmerica,developed,1993,2.015,123.59,2.497,4.41,2.837,0.109,73.89,0.86,56.49,0.0,
Canada,NorthAmerica,developed,1994,2.169,126.27,3.065,4.633,4.18,-1.409,75.91,0.164,57.18,0.0,
Canada,NorthAmerica,developed,1995,1.966,128.76,3.329,4.668,3.958,1.659,74.4,-2.902,49.83,0.0,
Canada,NorthAmerica,developed,1996,0.649,129.59,2.581,4.837,4.533,0.396,79.46,2.571,51.2,0.0,
Canada,NorthAmerica,developed,1997,1.394,131.4,2.766,4.443,4.006,-2.961,80.44,-0.856,53.04,1.2,Asian Financial Crisis
Canada,NorthAmerica,developed,1998,2.293,134.41,1.441,4.37,3.333,0.949,82.65,-3.404,55.77,1.0,LTCM / Russia default
Canada,NorthAmerica,developed,1999,1.932,137.01,1.186,3.638,3.707,0.856,84.59,0.992,55.29,0.0,
Canada,NorthAmerica,developed,2000,2.816,140.87,1.134,2.908,4.126,-0.663,88.72,1.116,55.73,0.0,
Canada,NorthAmerica,developed,2001,1.996,143.68,2.844,4.033,4.036,0.32,93.43,-1.855,53.54,0.9,Dot-com bust / 9-11
Canada,NorthAmerica,developed,2002,1.577,145.94,2.945,3.815,3.417,-4.146,93.86,-1.111,51.15,0.7,Corporate scandals
Canada,NorthAmerica,developed,2003,2.92,150.21,3.701,3.85,3.714,-0.814,95.5,-0.05,58.21,0.0,
Canada,NorthAmerica,developed,2004,2.561,154.05,4.271,3.909,3.722,5.195,98.3,2.275,55.84,0.0,
Canada,NorthAmerica,developed,2005,2.845,158.43,3.832,4.27,3.188,0.861,99.0,0.872,59.44,0.0,
Canada,NorthAmerica,developed,2006,2.928,163.07,3.296,4.712,3.382,1.871,97.86,-0.97,50.39,0.0,
Canada,NorthAmerica,developed,2007,1.874,166.13,4.188,5.386,3.703,-3.005,94.95,-1.653,61.34,0.0,
Canada,NorthAmerica,developed,2008,-0.458,165.37,3.993,5.568,4.449,-0.595,99.18,-1.613,44.04,3.0,Global Financial Crisis
Canada,NorthAmerica,developed,2009,-1.468,162.94,2.684,5.526,6.548,-1.94,101.73,1.728,46.02,2.5,GFC trough
Canada,NorthAmerica,developed,2010,-0.791,161.65,3.771,5.479,5.525,3.129,104.92,-2.324,46.93,0.0,
Canada,NorthAmerica,developed,2011,-0.047,161.58,2.56,5.424,4.754,2.296,103.91,-1.651,43.64,0.6,Euro debt crisis
Canada,NorthAmerica,developed,2012,0.044,161.65,2.706,5.091,4.851,-0.318,107.89,-2.139,52.22,0.0,
Canada,NorthAmerica,developed,2013,1.006,163.27,2.933,5.226,4.645,4.07,111.11,-0.804,49.93,0.0,
Canada,NorthAmerica,developed,2014,0.71,164.43,1.811,4.487,4.61,0.669,114.49,-1.384,54.24,0.0,
Canada,NorthAmerica,developed,2015,1.371,166.69,1.571,3.949,4.589,0.376,114.58,0.083,52.97,0.4,China slowdown
Canada,NorthAmerica,developed,2016,1.063,168.46,1.869,3.215,5.136,2.496,116.86,0.856,45.08,0.0,
Canada,NorthAmerica,developed,2017,0.679,169.6,1.72,2.682,5.018,3.995,117.25,-1.501,52.18,0.0,
Canada,NorthAmerica,developed,2018,2.051,173.08,0.858,2.666,4.885,-3.304,117.01,-0.415,52.9,0.0,
Canada,NorthAmerica,developed,2019,2.601,177.58,1.34,1.993,3.957,-1.155,121.48,-0.967,53.74,0.0,
Canada,NorthAmerica,developed,2020,-0.15,177.31,1.932,2.236,4.232,1.076,122.55,-0.941,45.41,2.8,COVID-19
Canada,NorthAmerica,developed,2021,2.079,181.0,2.03,2.739,4.081,-1.228,127.85,-0.8,54.22,0.2,COVID recovery / stimulus
Canada,NorthAmerica,developed,2022,1.395,183.53,3.688,3.391,4.036,-0.823,133.56,-2.498,43.79,1.0,Inflation / rate hike cycle
Canada,NorthAmerica,developed,2023,2.288,187.73,4.82,3.916,2.888,-0.621,135.91,-1.136,50.83,0.4,Rates plateau
Canada,NorthAmerica,developed,2024,2.639,192.68,4.735,3.935,4.03,4.105,139.07,-1.405,55.31,0.0,
UK,Europe,developed,1985,2.469,102.47,1.415,4.782,3.57,0.696,61.77,3.751,52.57,0.0,
UK,Europe,developed,1986,2.729,105.27,1.948,4.322,3.724,-0.575,63.11,-3.128,56.45,0.0,
UK,Europe,developed,1987,1.73,107.09,1.928,4.168,3.282,-6.231,66.42,-0.784,44.83,0.8,Black Monday
UK,Europe,developed,1988,2.294,109.54,2.321,3.914,3.195,-1.328,69.21,4.909,56.72,0.0,
UK,Europe,developed,1989,2.478,112.26,2.283,4.315,4.074,-0.497,70.32,-0.716,54.46,0.0,
UK,Europe,developed,1990,2.138,114.66,3.795,4.461,3.719,-2.372,72.19,1.606,47.13,0.6,Gulf War / S&L crisis
UK,Europe,developed,1991,0.732,115.5,3.096,3.578,4.152,-4.83,74.39,2.137,50.01,0.5,Recession
UK,Europe,developed,1992,0.456,116.02,2.991,4.131,4.284,-4.821,78.29,-0.5,53.03,0.0,
UK,Europe,developed,1993,0.859,117.02,3.514,3.915,4.565,-3.421,78.52,-3.341,54.1,0.0,
UK,Europe,developed,1994,0.958,118.14,2.554,3.898,5.085,-7.561,78.16,-1.772,56.67,0.0,
UK,Europe,developed,1995,1.413,119.81,3.217,3.649,3.734,-2.104,80.71,0.972,52.8,0.0,
UK,Europe,developed,1996,1.752,121.91,3.26,4.241,4.528,-6.24,78.72,1.866,57.73,0.0,
UK,Europe,developed,1997,0.747,122.82,1.848,4.078,5.092,0.595,82.61,-0.458,46.7,1.2,Asian Financial Crisis
UK,Europe,developed,1998,0.732,123.72,1.673,3.454,5.658,0.57,87.62,-1.504,52.31,1.0,LTCM / Russia default
UK,Europe,developed,1999,1.458,125.52,2.252,4.015,4.589,-1.52,91.51,0.846,48.12,0.0,
UK,Europe,developed,2000,1.668,127.62,1.917,3.42,5.007,0.458,96.67,0.775,58.02,0.0,
UK,Europe,developed,2001,0.884,128.75,2.172,2.987,4.757,-2.879,96.75,0.086,50.06,0.9,Dot-com bust / 9-11
UK,Europe,developed,2002,1.786,131.04,2.971,3.308,4.231,-2.912,98.84,-2.216,52.4,0.7,Corporate scandals
UK,Europe,developed,2003,1.417,132.9,1.936,3.521,4.487,-6.573,101.21,2.25,56.55,0.0,
UK,Europe,developed,2004,2.203,135.83,2.14,3.264,3.357,-2.311,104.3,2.773,58.55,0.0,
UK,Europe,developed,2005,2.098,138.68,1.277,3.054,4.06,-3.404,105.47,0.963,53.48,0.0,
UK,Europe,developed,2006,1.722,141.07,1.831,2.939,4.261,-2.454,105.61,-0.672,58.41,0.0,
UK,Europe,developed,2007,1.119,142.65,0.331,1.874,4.455,-2.938,107.63,3.169,44.65,0.0,
UK,Europe,developed,2008,-1.098,141.08,2.704,1.63,5.359,-4.506,109.0,-2.354,46.9,3.0,Global Financial Crisis
UK,Europe,developed,2009,-2.6,137.41,3.827,2.029,7.177,-3.187,112.95,-5.008,41.36,2.5,GFC trough
UK,Europe,developed,2010,-1.849,134.87,4.397,2.393,5.68,-1.183,116.38,0.078,45.64,0.0,
UK,Europe,developed,2011,-0.96,133.57,4.754,2.219,5.813,-4.964,116.62,-0.703,46.77,0.6,Euro debt crisis
UK,Europe,developed,2012,-0.611,132.76,5.028,2.397,5.102,-4.17,119.55,-0.111,45.52,0.0,
UK,Europe,developed,2013,0.501,133.42,4.633,2.323,3.77,-3.025,121.79,-0.757,51.11,0.0,
UK,Europe,developed,2014,1.036,134.81,5.024,2.701,3.896,-5.187,125.04,1.823,51.17,0.0,
UK,Europe,developed,2015,-0.379,134.3,3.006,2.573,4.911,-3.817,128.24,-0.685,51.45,0.4,China slowdown
UK,Europe,developed,2016,-0.165,134.07,2.275,2.841,4.315,-2.221,131.59,-0.137,54.37,0.0,
UK,Europe,developed,2017,0.028,134.11,4.028,3.195,4.347,-2.86,132.69,-1.872,51.26,0.0,
UK,Europe,developed,2018,0.879,135.29,3.285,3.879,5.139,-0.127,137.03,2.581,46.45,0.0,
UK,Europe,developed,2019,0.994,136.64,2.494,3.943,4.217,-3.332,144.11,-0.248,53.61,0.0,
UK,Europe,developed,2020,-1.869,134.08,2.406,3.717,6.159,-0.669,151.85,-0.757,36.5,2.8,COVID-19
UK,Europe,developed,2021,1.171,135.65,4.287,4.521,4.521,-1.227,156.56,1.954,53.26,0.2,COVID recovery / stimulus
UK,Europe,developed,2022,0.289,136.04,6.358,4.086,5.047,-10.297,157.05,-0.164,50.12,1.0,Inflation / rate hike cycle
UK,Europe,developed,2023,-0.255,135.7,4.447,4.965,4.886,1.486,161.5,0.322,53.44,0.4,Rates plateau
UK,Europe,developed,2024,0.412,136.26,3.316,4.916,4.776,-5.729,165.25,-1.639,53.75,0.0,
Germany,Europe,developed,1985,1.821,101.82,1.874,3.408,4.201,3.234,60.07,-2.015,58.37,0.0,
Germany,Europe,developed,1986,1.568,103.42,0.786,3.286,4.448,-1.061,62.65,1.866,55.48,0.0,
Germany,Europe,developed,1987,1.705,105.18,0.009,2.973,3.996,1.034,66.52,3.586,58.52,0.8,Black Monday
Germany,Europe,developed,1988,2.518,107.83,0.339,2.851,4.124,2.242,68.59,2.176,56.82,0.0,
Germany,Europe,developed,1989,1.901,109.88,0.36,2.818,4.051,2.68,71.94,-0.228,57.55,0.0,
Germany,Europe,developed,1990,1.383,111.4,-0.07,2.978,4.058,-1.31,72.14,-1.391,52.8,0.6,Gulf War / S&L crisis
Germany,Europe,developed,1991,0.423,111.87,0.221,2.778,4.958,2.632,75.48,1.796,43.85,0.5,Recession
Germany,Europe,developed,1992,0.549,112.48,-1.148,2.076,4.723,4.091,80.16,1.38,50.02,0.0,
Germany,Europe,developed,1993,1.152,113.78,-0.92,1.561,4.917,0.884,83.81,2.261,50.34,0.0,
Germany,Europe,developed,1994,1.899,115.94,0.242,1.482,3.669,0.282,84.53,1.642,52.41,0.0,
Germany,Europe,developed,1995,2.137,118.42,-0.379,1.17,3.987,6.89,83.43,3.688,56.38,0.0,
Germany,Europe,developed,1996,2.299,121.14,0.211,1.31,3.774,4.908,84.16,2.831,54.45,0.0,
Germany,Europe,developed,1997,1.658,123.15,-0.101,1.315,4.893,1.845,85.72,-1.569,51.52,1.2,Asian Financial Crisis
Germany,Europe,developed,1998,0.378,123.61,-0.517,1.038,5.471,7.618,86.8,3.656,49.78,1.0,LTCM / Russia default
Germany,Europe,developed,1999,0.643,124.41,0.353,0.952,4.734,1.183,86.06,-2.563,53.75,0.0,
Germany,Europe,developed,2000,0.766,125.36,0.225,0.838,5.014,2.361,86.73,3.015,56.87,0.0,
Germany,Europe,developed,2001,0.421,125.89,1.295,1.45,5.354,3.228,90.27,1.281,46.08,0.9,Dot-com bust / 9-11
Germany,Europe,developed,2002,0.706,126.78,0.329,0.959,5.299,3.68,95.36,-0.012,47.11,0.7,Corporate scandals
Germany,Europe,developed,2003,0.836,127.84,0.765,0.999,5.149,1.277,98.1,-1.577,53.67,0.0,
Germany,Europe,developed,2004,1.079,129.22,0.432,0.851,4.369,1.46,103.57,0.303,52.26,0.0,
Germany,Europe,developed,2005,0.0,129.22,0.05,0.547,4.657,4.763,105.41,3.192,50.19,0.0,
Germany,Europe,developed,2006,0.473,129.83,0.389,0.507,5.623,-2.639,103.43,-0.573,51.36,0.0,
Germany,Europe,developed,2007,1.219,131.41,1.11,0.536,4.9,4.06,105.6,2.222,54.2,0.0,
Germany,Europe,developed,2008,-1.673,129.21,2.496,0.853,5.837,4.946,103.77,-3.383,38.26,3.0,Global Financial Crisis
Germany,Europe,developed,2009,-3.058,125.26,0.791,0.197,6.098,6.915,110.6,-0.904,33.06,2.5,GFC trough
Germany,Europe,developed,2010,-2.988,121.52,0.959,0.0,6.452,-1.2,111.97,0.639,42.8,0.0,
Germany,Europe,developed,2011,-1.841,119.28,0.467,0.226,5.52,3.266,114.64,-2.263,42.74,0.6,Euro debt crisis
Germany,Europe,developed,2012,-0.711,118.43,1.284,0.289,6.121,4.015,116.44,1.745,53.83,0.0,
Germany,Europe,developed,2013,1.093,119.73,0.465,0.0,5.196,-0.117,115.47,-0.482,54.3,0.0,
Germany,Europe,developed,2014,1.208,121.17,0.271,0.0,4.04,0.241,121.67,1.144,56.02,0.0,
Germany,Europe,developed,2015,0.883,122.24,0.278,0.0,3.233,-0.756,119.82,-3.953,48.07,0.4,China slowdown
Germany,Europe,developed,2016,1.907,124.57,0.607,0.713,4.252,3.565,119.7,1.496,57.48,0.0,
Germany,Europe,developed,2017,1.534,126.49,1.353,1.17,3.958,-0.246,119.29,0.397,55.24,0.0,
Germany,Europe,developed,2018,1.125,127.91,1.524,1.567,4.746,5.104,124.07,-1.83,58.18,0.0,
Germany,Europe,developed,2019,0.975,129.16,2.475,1.907,4.306,-1.615,126.15,-3.231,55.61,0.0,
Germany,Europe,developed,2020,-0.908,127.98,1.553,1.94,5.092,0.743,130.98,-0.722,40.43,2.8,COVID-19
Germany,Europe,developed,2021,2.468,131.14,2.79,2.698,3.542,1.901,133.09,-1.879,58.44,0.2,COVID recovery / stimulus
Germany,Europe,developed,2022,1.791,133.49,5.227,4.136,4.829,1.25,137.05,-2.185,53.05,1.0,Inflation / rate hike cycle
Germany,Europe,developed,2023,1.134,135.01,5.267,4.849,4.324,4.387,136.4,-4.978,54.74,0.4,Rates plateau
Germany,Europe,developed,2024,1.337,136.81,4.834,4.696,4.32,6.007,141.57,-0.481,52.4,0.0,
France,Europe,developed,1985,1.663,101.66,0.497,3.702,4.591,-3.151,60.84,-1.804,51.48,0.0,
France,Europe,developed,1986,1.755,103.45,-0.83,3.3,4.5,-0.502,57.96,-1.084,58.32,0.0,
France,Europe,developed,1987,-0.176,103.27,-0.418,2.188,5.49,-1.35,61.28,1.916,53.45,0.8,Black Monday
France,Europe,developed,1988,0.221,103.49,0.406,1.336,5.485,-1.521,62.34,0.494,45.89,0.0,
France,Europe,developed,1989,0.778,104.3,1.539,1.62,3.816,-0.248,65.89,-3.558,48.82,0.0,
France,Europe,developed,1990,0.865,105.2,2.097,2.041,5.497,0.937,69.41,5.452,50.43,0.6,Gulf War / S&L crisis
France,Europe,developed,1991,-0.255,104.93,2.586,2.436,4.864,-2.065,76.66,0.538,46.13,0.5,Recession
France,Europe,developed,1992,0.833,105.81,2.422,2.539,4.865,-2.584,79.7,3.759,53.59,0.0,
France,Europe,developed,1993,0.874,106.73,1.972,2.466,4.436,-0.756,83.86,-3.398,54.89,0.0,
France,Europe,developed,1994,0.903,107.69,2.319,2.197,5.213,2.491,88.07,-3.065,54.86,0.0,
France,Europe,developed,1995,1.395,109.2,1.011,2.152,4.485,1.112,90.57,0.939,58.09,0.0,
France,Europe,developed,1996,2.257,111.66,-1.045,1.599,3.789,-3.504,92.52,3.471,52.68,0.0,
France,Europe,developed,1997,1.889,113.77,-0.961,0.979,4.794,-1.085,95.26,-2.794,58.16,1.2,Asian Financial Crisis
France,Europe,developed,1998,1.894,115.93,-0.601,1.031,3.348,2.365,96.44,0.432,51.51,1.0,LTCM / Russia default
France,Europe,developed,1999,1.547,117.72,0.515,1.174,4.552,-0.018,99.35,-0.332,60.76,0.0,
France,Europe,developed,2000,0.694,118.54,1.861,1.978,4.227,4.459,103.72,2.044,51.91,0.0,
France,Europe,developed,2001,-0.035,118.5,1.677,2.175,5.718,0.363,104.67,1.806,50.87,0.9,Dot-com bust / 9-11
France,Europe,developed,2002,0.362,118.92,2.336,2.255,4.355,-1.736,104.07,0.433,49.3,0.7,Corporate scandals
France,Europe,developed,2003,0.482,119.5,-0.056,1.404,5.319,-1.329,107.09,-2.105,55.59,0.0,
France,Europe,developed,2004,0.75,120.39,0.628,2.284,5.383,-0.613,108.41,-0.179,53.5,0.0,
France,Europe,developed,2005,0.975,121.57,0.626,2.705,4.456,4.599,111.18,4.043,53.64,0.0,
France,Europe,developed,2006,1.784,123.74,0.361,2.135,4.338,1.977,113.43,-2.021,50.61,0.0,
France,Europe,developed,2007,0.957,124.92,-0.685,1.739,5.084,-0.027,111.22,0.484,52.03,0.0,
France,Europe,developed,2008,-0.25,124.61,-0.644,1.12,5.978,0.9,115.09,-4.03,45.67,3.0,Global Financial Crisis
France,Europe,developed,2009,-2.298,121.74,0.207,0.24,6.313,0.357,116.88,-2.716,35.74,2.5,GFC trough
France,Europe,developed,2010,-1.461,119.97,-0.277,0.124,5.155,1.424,117.0,-0.389,44.28,0.0,
France,Europe,developed,2011,-0.126,119.82,0.818,0.158,5.312,-4.214,119.07,4.41,48.87,0.6,Euro debt crisis
France,Europe,developed,2012,0.422,120.32,1.533,0.831,3.79,-3.365,121.66,-1.23,55.05,0.0,
France,Europe,developed,2013,0.602,121.05,0.119,0.234,3.324,-0.468,123.19,-0.225,54.82,0.0,
France,Europe,developed,2014,1.646,123.04,0.399,0.0,4.486,1.111,125.31,2.503,50.84,0.0,
France,Europe,developed,2015,2.735,126.4,-0.218,0.418,2.789,-1.861,129.72,0.204,58.92,0.4,China slowdown
France,Europe,developed,2016,2.668,129.77,0.181,1.104,3.548,-3.561,129.74,1.708,58.21,0.0,
France,Europe,developed,2017,1.536,131.77,0.006,0.785,4.049,-2.752,130.33,-0.799,56.36,0.0,
France,Europe,developed,2018,2.112,134.55,0.328,0.705,4.014,-1.633,129.68,-1.319,53.65,0.0,
France,Europe,developed,2019,1.361,136.38,0.832,1.143,3.526,0.05,131.28,1.093,53.54,0.0,
France,Europe,developed,2020,-2.376,133.14,-0.114,0.742,6.703,-4.428,135.25,1.306,39.8,2.8,COVID-19
France,Europe,developed,2021,0.371,133.63,1.303,0.266,3.642,1.886,135.3,-0.642,46.42,0.2,COVID recovery / stimulus
France,Europe,developed,2022,-0.993,132.31,3.443,0.597,5.685,0.905,138.58,0.104,50.12,1.0,Inflation / rate hike cycle
France,Europe,developed,2023,-1.21,130.71,2.521,1.399,6.237,-2.844,140.94,2.62,47.54,0.4,Rates plateau
France,Europe,developed,2024,-0.315,130.29,2.282,1.488,5.302,-0.505,143.58,0.132,47.14,0.0,
Italy,Europe,developed,1985,1.519,101.52,4.831,5.338,4.402,-1.52,63.66,-0.606,58.62,0.0,
Italy,Europe,developed,1986,2.145,103.7,4.519,6.34,2.755,3.181,66.98,1.55,55.28,0.0,
Italy,Europe,developed,1987,1.11,104.85,4.316,6.609,4.586,2.169,66.52,1.403,53.05,0.8,Black Monday
Italy,Europe,developed,1988,1.01,105.91,2.776,6.692,3.288,1.297,66.57,0.024,53.85,0.0,
Italy,Europe,developed,1989,1.759,107.77,2.578,6.295,3.867,2.546,70.37,-0.795,56.62,0.0,
Italy,Europe,developed,1990,-0.041,107.73,3.083,5.51,5.396,0.257,78.38,-2.375,48.32,0.6,Gulf War / S&L crisis
Italy,Europe,developed,1991,0.448,108.21,4.046,5.521,4.888,0.004,82.16,-1.861,50.6,0.5,Recession
Italy,Europe,developed,1992,-0.323,107.86,3.845,5.886,5.048,-3.23,87.68,0.326,46.48,0.0,
Italy,Europe,developed,1993,-0.11,107.74,2.375,5.292,4.786,2.457,89.83,1.318,47.93,0.0,
Italy,Europe,developed,1994,0.366,108.14,2.287,5.562,4.55,-3.145,90.45,-1.0,47.78,0.0,
Italy,Europe,developed,1995,0.821,109.02,1.957,6.352,3.721,0.407,91.68,-0.824,53.84,0.0,
Italy,Europe,developed,1996,-0.48,108.5,2.255,6.804,5.013,0.52,97.74,-0.254,46.26,0.0,
Italy,Europe,developed,1997,-1.905,106.43,2.985,6.439,5.446,0.253,101.15,-1.202,41.48,1.2,Asian Financial Crisis
Italy,Europe,developed,1998,-2.292,103.99,3.6,5.725,5.815,3.846,107.93,-0.135,35.63,1.0,LTCM / Russia default
Italy,Europe,developed,1999,-1.737,102.19,3.438,5.697,5.823,-0.062,111.87,-3.165,41.21,0.0,
Italy,Europe,developed,2000,-0.454,101.72,2.156,5.39,4.817,0.223,115.04,3.058,49.63,0.0,
Italy,Europe,developed,2001,-1.727,99.97,2.678,4.917,5.575,0.628,118.36,1.732,38.68,0.9,Dot-com bust / 9-11
Italy,Europe,developed,2002,-1.847,98.12,2.075,4.454,6.473,1.258,125.99,4.663,37.81,0.7,Corporate scandals
Italy,Europe,developed,2003,-1.043,97.1,1.219,3.844,5.206,-2.114,127.65,0.096,42.0,0.0,
Italy,Europe,developed,2004,0.023,97.12,0.741,4.732,4.763,0.144,128.86,3.94,53.45,0.0,
Italy,Europe,developed,2005,0.495,97.6,0.015,4.32,4.192,2.925,134.0,0.936,44.76,0.0,
Italy,Europe,developed,2006,0.082,97.68,1.063,4.575,5.514,-3.184,138.42,2.462,45.36,0.0,
Italy,Europe,developed,2007,0.356,98.03,1.569,4.32,3.896,-0.651,141.45,-0.017,49.79,0.0,
Italy,Europe,developed,2008,-2.398,95.68,2.354,4.371,6.047,-0.819,146.51,-4.863,34.0,3.0,Global Financial Crisis
Italy,Europe,developed,2009,-3.575,92.26,2.731,3.454,5.801,0.548,151.34,-5.104,32.1,2.5,GFC trough
Italy,Europe,developed,2010,-1.822,90.58,3.072,3.558,4.857,1.538,157.94,1.117,39.77,0.0,
Italy,Europe,developed,2011,-0.962,89.71,3.982,4.644,5.043,-0.453,163.99,-0.33,41.44,0.6,Euro debt crisis
Italy,Europe,developed,2012,-0.173,89.55,4.149,5.076,5.196,-0.517,171.49,-2.296,47.52,0.0,
Italy,Europe,developed,2013,0.177,89.71,4.522,4.919,4.256,-4.075,176.03,-2.843,49.58,0.0,
Italy,Europe,developed,2014,0.83,90.45,3.604,5.319,4.436,1.344,181.55,-1.715,52.95,0.0,
