year,dev_level,macro_var,asset_class,correlation,n_obs
1992,developed,policy_rate,cash,0.9612,65
1992,developed,unemployment,equities,-0.2104,65
1992,developed,unemployment,bonds,0.1573,65
1992,developed,unemployment,real_estate,-0.2249,65
1992,developed,unemployment,commodities,-0.1789,65
1992,developed,unemployment,cash,-0.2867,65
1992,developed,current_account,equities,-0.0464,65
1992,developed,current_account,bonds,-0.0971,65
1992,developed,current_account,real_estate,-0.1755,65
1992,developed,current_account,commodities,-0.2669,65
1992,developed,current_account,cash,0.2077,65
1992,developed,debt_to_gdp,equities,-0.2807,65
1992,developed,debt_to_gdp,bonds,-0.1901,65
1992,developed,debt_to_gdp,real_estate,-0.1731,65
1992,developed,debt_to_gdp,commodities,-0.1517,65
1992,developed,debt_to_gdp,cash,-0.0009,65
1992,developed,fx_change,equities,0.167,65
1992,developed,fx_change,bonds,-0.1263,65
1992,developed,fx_change,real_estate,0.1267,65
1992,developed,fx_change,commodities,0.0428,65
1992,developed,fx_change,cash,-0.0939,65
1992,developed,biz_confidence,equities,0.1519,65
1992,developed,biz_confidence,bonds,-0.2714,65
1992,developed,biz_confidence,real_estate,0.1053,65
1992,developed,biz_confidence,commodities,0.0212,65
1992,developed,biz_confidence,cash,0.2624,65
1993,developed,gdp_growth,equities,0.1209,65
1993,developed,gdp_growth,bonds,-0.1682,65
1993,developed,gdp_growth,real_estate,0.238,65
1993,developed,gdp_growth,commodities,0.1304,65
1993,developed,gdp_growth,cash,0.2419,65
1993,developed,inflation,equities,-0.0344,65
1993,developed,inflation,bonds,-0.1019,65
1993,developed,inflation,real_estate,0.0875,65
1993,developed,inflation,commodities,0.1235,65
1993,developed,inflation,cash,0.4318,65
1993,developed,policy_rate,equities,0.1336,65
1993,developed,policy_rate,bonds,-0.2282,65
1993,developed,policy_rate,real_estate,-0.0874,65
1993,developed,policy_rate,commodities,0.0716,65
1993,developed,policy_rate,cash,0.9501,65
1993,developed,unemployment,equities,-0.0527,65
1993,developed,unemployment,bonds,0.0169,65
1993,developed,unemployment,real_estate,-0.3533,65
1993,developed,unemployment,commodities,-0.2429,65
1993,developed,unemployment,cash,-0.1944,65
1993,developed,current_account,equities,-0.0371,65
1993,developed,current_account,bonds,-0.1194,65
1993,developed,current_account,real_estate,-0.2155,65
1993,developed,current_account,commodities,-0.2054,65
1993,developed,current_account,cash,0.167,65
1993,developed,debt_to_gdp,equities,-0.2353,65
1993,developed,debt_to_gdp,bonds,-0.1078,65
1993,developed,debt_to_gdp,real_estate,-0.2211,65
1993,developed,debt_to_gdp,commodities,-0.099,65
1993,developed,debt_to_gdp,cash,-0.0906,65
1993,developed,fx_change,equities,0.0538,65
1993,developed,fx_change,bonds,-0.1073,65
1993,developed,fx_change,real_estate,0.0573,65
1993,developed,fx_change,commodities,0.0537,65
1993,developed,fx_change,cash,-0.1339,65
1993,developed,biz_confidence,equities,0.1099,65
1993,developed,biz_confidence,bonds,-0.1715,65
1993,developed,biz_confidence,real_estate,0.1572,65
1993,developed,biz_confidence,commodities,0.0685,65
1993,developed,biz_confidence,cash,0.1947,65
1994,developed,gdp_growth,equities,0.1566,65
1994,developed,gdp_growth,bonds,-0.153,65
1994,developed,gdp_growth,real_estate,0.2462,65
1994,developed,gdp_growth,commodities,0.0878,65
1994,developed,gdp_growth,cash,0.2002,65
1994,developed,inflation,equities,-0.0105,65
1994,developed,inflation,bonds,-0.1981,65
1994,developed,inflation,real_estate,0.0813,65
1994,developed,inflation,commodities,0.144,65
1994,developed,inflation,cash,0.4259,65
1994,developed,policy_rate,equities,0.1015,65
1994,developed,policy_rate,bonds,-0.0566,65
1994,developed,policy_rate,real_estate,-0.0539,65
1994,developed,policy_rate,commodities,0.2311,65
1994,developed,policy_rate,cash,0.9444,65
1994,developed,unemployment,equities,-0.0223,65
1994,developed,unemployment,bonds,-0.0034,65
1994,developed,unemployment,real_estate,-0.2908,65
1994,developed,unemployment,commodities,-0.2669,65
1994,developed,unemployment,cash,-0.1941,65
1994,developed,current_account,equities,-0.022,65
1994,developed,current_account,bonds,-0.1304,65
1994,developed,current_account,real_estate,0.0045,65
1994,developed,current_account,commodities,-0.1961,65
1994,developed,current_account,cash,0.1087,65
1994,developed,debt_to_gdp,equities,-0.0166,65
1994,developed,debt_to_gdp,bonds,-0.1954,65
1994,developed,debt_to_gdp,real_estate,-0.0519,65
1994,developed,debt_to_gdp,commodities,-0.2212,65
1994,developed,debt_to_gdp,cash,-0.1424,65
1994,developed,fx_change,equities,0.162,65
1994,developed,fx_change,bonds,-0.0769,65
1994,developed,fx_change,real_estate,0.0749,65
1994,developed,fx_change,commodities,0.0375,65
1994,developed,fx_change,cash,-0.1924,65
1994,developed,biz_confidence,equities,0.0715,65
1994,developed,biz_confidence,bonds,-0.0279,65
1994,developed,biz_confidence,real_estate,0.2212,65
1994,developed,biz_confidence,commodities,0.068,65
1994,developed,biz_confidence,cash,0.1406,65
1995,developed,gdp_growth,equities,0.085,65
1995,developed,gdp_growth,bonds,-0.1733,65
1995,developed,gdp_growth,real_estate,0.2477,65
1995,developed,gdp_growth,commodities,0.0597,65
1995,developed,gdp_growth,cash,0.1628,65
1995,developed,inflation,equities,0.0754,65
1995,developed,inflation,bonds,-0.2571,65
1995,developed,inflation,real_estate,0.061,65
1995,developed,inflation,commodities,0.0703,65
1995,developed,inflation,cash,0.3874,65
1995,developed,policy_rate,equities,0.1556,65
1995,developed,policy_rate,bonds,-0.082,65
1995,developed,policy_rate,real_estate,-0.0799,65
1995,developed,policy_rate,commodities,0.1598,65
1995,developed,policy_rate,cash,0.9479,65
1995,developed,unemployment,equities,0.0234,65
1995,developed,unemployment,bonds,0.1019,65
1995,developed,unemployment,real_estate,-0.2599,65
1995,developed,unemployment,commodities,-0.1902,65
1995,developed,unemployment,cash,-0.1781,65
1995,developed,current_account,equities,-0.0661,65
1995,developed,current_account,bonds,0.0419,65
1995,developed,current_account,real_estate,0.1108,65
1995,developed,current_account,commodities,-0.0882,65
1995,developed,current_account,cash,0.0054,65
1995,developed,debt_to_gdp,equities,0.0321,65
1995,developed,debt_to_gdp,bonds,-0.1064,65
1995,developed,debt_to_gdp,real_estate,-0.0311,65
1995,developed,debt_to_gdp,commodities,-0.1079,65
1995,developed,debt_to_gdp,cash,-0.1724,65
1995,developed,fx_change,equities,0.0927,65
1995,developed,fx_change,bonds,-0.0458,65
1995,developed,fx_change,real_estate,0.1276,65
1995,developed,fx_change,commodities,0.1406,65
1995,developed,fx_change,cash,-0.1123,65
1995,developed,biz_confidence,equities,-0.0337,65
1995,developed,biz_confidence,bonds,0.0884,65
1995,developed,biz_confidence,real_estate,0.2245,65
1995,developed,biz_confidence,commodities,0.1016,65
1995,developed,biz_confidence,cash,0.084,65
1996,developed,gdp_growth,equities,0.0576,65
1996,developed,gdp_growth,bonds,-0.1318,65
1996,developed,gdp_growth,real_estate,0.1095,65
1996,developed,gdp_growth,commodities,0.0204,65
1996,developed,gdp_growth,cash,-0.0206,65
1996,developed,inflation,equities,-0.0747,65
1996,developed,inflation,bonds,-0.3387,65
1996,developed,inflation,real_estate,0.0578,65
1996,developed,inflation,commodities,0.0781,65
1996,developed,inflation,cash,0.3661,65
1996,developed,policy_rate,equities,0.0407,65
1996,developed,policy_rate,bonds,-0.0952,65
1996,developed,policy_rate,real_estate,-0.0949,65
1996,developed,policy_rate,commodities,0.2512,65
1996,developed,policy_rate,cash,0.9555,65
1996,developed,unemployment,equities,0.0124,65
1996,developed,unemployment,bonds,0.0591,65
1996,developed,unemployment,real_estate,-0.0645,65
1996,developed,unemployment,commodities,-0.1819,65
1996,developed,unemployment,cash,-0.0355,65
1996,developed,current_account,equities,-0.1319,65
1996,developed,current_account,bonds,0.0294,65
1996,developed,current_account,real_estate,0.0498,65
1996,developed,current_account,commodities,-0.1059,65
1996,developed,current_account,cash,-0.1025,65
1996,developed,debt_to_gdp,equities,0.0431,65
1996,developed,debt_to_gdp,bonds,0.1055,65
1996,developed,debt_to_gdp,real_estate,-0.134,65
1996,developed,debt_to_gdp,commodities,-0.04,65
1996,developed,debt_to_gdp,cash,-0.1085,65
1996,developed,fx_change,equities,0.1843,65
1996,developed,fx_change,bonds,0.023,65
1996,developed,fx_change,real_estate,0.0306,65
1996,developed,fx_change,commodities,-0.0121,65
1996,developed,fx_change,cash,-0.1464,65
1996,developed,biz_confidence,equities,-0.0108,65
1996,developed,biz_confidence,bonds,0.0511,65
1996,developed,biz_confidence,real_estate,0.1463,65
1996,developed,biz_confidence,commodities,0.0423,65
1996,developed,biz_confidence,cash,0.0079,65
1997,developed,gdp_growth,equities,0.0565,65
1997,developed,gdp_growth,bonds,-0.1856,65
1997,developed,gdp_growth,real_estate,0.1715,65
1997,developed,gdp_growth,commodities,0.1048,65
1997,developed,gdp_growth,cash,-0.179,65
1997,developed,inflation,equities,-0.1015,65
1997,developed,inflation,bonds,-0.345,65
1997,developed,inflation,real_estate,-0.0897,65
1997,developed,inflation,commodities,-0.0166,65
1997,developed,inflation,cash,0.3854,65
1997,developed,policy_rate,equities,-0.0705,65
1997,developed,policy_rate,bonds,-0.0959,65
1997,developed,policy_rate,real_estate,-0.2191,65
1997,developed,policy_rate,commodities,0.1896,65
1997,developed,policy_rate,cash,0.9542,65
1997,developed,unemployment,equities,0.0506,65
1997,developed,unemployment,bonds,0.0785,65
1997,developed,unemployment,real_estate,0.0018,65
1997,developed,unemployment,commodities,-0.2167,65
1997,developed,unemployment,cash,0.0133,65
1997,developed,current_account,equities,-0.063,65
1997,developed,current_account,bonds,0.0624,65
1997,developed,current_account,real_estate,0.1477,65
1997,developed,current_account,commodities,-0.0075,65
1997,developed,current_account,cash,-0.0587,65
1997,developed,debt_to_gdp,equities,-0.0508,65
1997,developed,debt_to_gdp,bonds,0.1499,65
1997,developed,debt_to_gdp,real_estate,-0.0771,65
1997,developed,debt_to_gdp,commodities,-0.0167,65
1997,developed,debt_to_gdp,cash,-0.0564,65
1997,developed,fx_change,equities,0.208,65
1997,developed,fx_change,bonds,0.13,65
1997,developed,fx_change,real_estate,-0.0011,65
1997,developed,fx_change,commodities,0.0131,65
1997,developed,fx_change,cash,-0.0567,65
1997,developed,biz_confidence,equities,-0.0833,65
1997,developed,biz_confidence,bonds,0.0536,65
1997,developed,biz_confidence,real_estate,0.2394,65
1997,developed,biz_confidence,commodities,0.094,65
1997,developed,biz_confidence,cash,-0.1133,65
1998,developed,gdp_growth,equities,0.2405,65
1998,developed,gdp_growth,bonds,-0.1856,65
1998,developed,gdp_growth,real_estate,0.287,65
1998,developed,gdp_growth,commodities,-0.0385,65
1998,developed,gdp_growth,cash,-0.2046,65
1998,developed,inflation,equities,-0.0246,65
1998,developed,inflation,bonds,-0.4465,65
1998,developed,inflation,real_estate,-0.27,65
1998,developed,inflation,commodities,-0.0433,65
1998,developed,inflation,cash,0.4343,65
1998,developed,policy_rate,equities,-0.0825,65
1998,developed,policy_rate,bonds,-0.0886,65
1998,developed,policy_rate,real_estate,-0.2583,65
1998,developed,policy_rate,commodities,0.0782,65
1998,developed,policy_rate,cash,0.9605,65
1998,developed,unemployment,equities,-0.2198,65
1998,developed,unemployment,bonds,0.1366,65
1998,developed,unemployment,real_estate,-0.0824,65
1998,developed,unemployment,commodities,0.0225,65
1998,developed,unemployment,cash,0.0666,65
1998,developed,current_account,equities,-0.1143,65
1998,developed,current_account,bonds,0.0475,65
1998,developed,current_account,real_estate,0.1945,65
1998,developed,current_account,commodities,0.1135,65
1998,developed,current_account,cash,-0.1341,65
1998,developed,debt_to_gdp,equities,-0.1356,65
1998,developed,debt_to_gdp,bonds,0.1851,65
1998,developed,debt_to_gdp,real_estate,-0.096,65
1998,developed,debt_to_gdp,commodities,0.1738,65
1998,developed,debt_to_gdp,cash,-0.0549,65
1998,developed,fx_change,equities,0.1608,65
1998,developed,fx_change,bonds,0.1713,65
1998,developed,fx_change,real_estate,0.0564,65
1998,developed,fx_change,commodities,0.0704,65
1998,developed,fx_change,cash,-0.0821,65
1998,developed,biz_confidence,equities,0.0622,65
1998,developed,biz_confidence,bonds,0.057,65
1998,developed,biz_confidence,real_estate,0.2681,65
1998,developed,biz_confidence,commodities,-0.0271,65
1998,developed,biz_confidence,cash,-0.1268,65
1999,developed,gdp_growth,equities,0.2057,65
1999,developed,gdp_growth,bonds,-0.0833,65
1999,developed,gdp_growth,real_estate,0.4607,65
1999,developed,gdp_growth,commodities,-0.1885,65
1999,developed,gdp_growth,cash,-0.212,65
1999,developed,inflation,equities,-0.0194,65
1999,developed,inflation,bonds,-0.5163,65
1999,developed,inflation,real_estate,-0.1735,65
1999,developed,inflation,commodities,0.0248,65
1999,developed,inflation,cash,0.4366,65
1999,developed,policy_rate,equities,-0.0969,65
1999,developed,policy_rate,bonds,-0.2215,65
1999,developed,policy_rate,real_estate,-0.2381,65
1999,developed,policy_rate,commodities,0.0709,65
1999,developed,policy_rate,cash,0.9672,65
1999,developed,unemployment,equities,-0.2681,65
1999,developed,unemployment,bonds,0.1643,65
1999,developed,unemployment,real_estate,-0.2909,65
1999,developed,unemployment,commodities,0.1776,65
1999,developed,unemployment,cash,0.0776,65
1999,developed,current_account,equities,-0.1519,65
1999,developed,current_account,bonds,0.0817,65
1999,developed,current_account,real_estate,0.0943,65
1999,developed,current_account,commodities,0.1834,65
1999,developed,current_account,cash,-0.1502,65
1999,developed,debt_to_gdp,equities,-0.0775,65
1999,developed,debt_to_gdp,bonds,0.0917,65
1999,developed,debt_to_gdp,real_estate,-0.209,65
1999,developed,debt_to_gdp,commodities,0.2876,65
1999,developed,debt_to_gdp,cash,-0.028,65
1999,developed,fx_change,equities,0.1507,65
1999,developed,fx_change,bonds,0.2655,65
1999,developed,fx_change,real_estate,0.1477,65
1999,developed,fx_change,commodities,-0.0374,65
1999,developed,fx_change,cash,-0.0788,65
1999,developed,biz_confidence,equities,0.0985,65
1999,developed,biz_confidence,bonds,0.0914,65
1999,developed,biz_confidence,real_estate,0.2858,65
1999,developed,biz_confidence,commodities,-0.1652,65
1999,developed,biz_confidence,cash,-0.242,65
2000,developed,gdp_growth,equities,0.1127,65
2000,developed,gdp_growth,bonds,-0.1853,65
2000,developed,gdp_growth,real_estate,0.3512,65
2000,developed,gdp_growth,commodities,-0.2516,65
2000,developed,gdp_growth,cash,-0.1625,65
2000,developed,inflation,equities,-0.2584,65
2000,developed,inflation,bonds,-0.4427,65
2000,developed,inflation,real_estate,-0.19,65
2000,developed,inflation,commodities,0.0915,65
2000,developed,inflation,cash,0.463,65
2000,developed,policy_rate,equities,-0.2302,65
2000,developed,policy_rate,bonds,-0.1462,65
2000,developed,policy_rate,real_estate,-0.2681,65
2000,developed,policy_rate,commodities,0.0646,65
2000,developed,policy_rate,cash,0.9651,65
2000,developed,unemployment,equities,-0.1077,65
2000,developed,unemployment,bonds,0.2099,65
2000,developed,unemployment,real_estate,-0.1149,65
2000,developed,unemployment,commodities,0.1592,65
2000,developed,unemployment,cash,0.0336,65
2000,developed,current_account,equities,-0.0476,65
2000,developed,current_account,bonds,-0.0107,65
2000,developed,current_account,real_estate,0.0434,65
2000,developed,current_account,commodities,0.152,65
2000,developed,current_account,cash,-0.1843,65
2000,developed,debt_to_gdp,equities,-0.0822,65
2000,developed,debt_to_gdp,bonds,0.0056,65
2000,developed,debt_to_gdp,real_estate,-0.125,65
2000,developed,debt_to_gdp,commodities,0.2137,65
2000,developed,debt_to_gdp,cash,0.0347,65
2000,developed,fx_change,equities,0.2982,65
2000,developed,fx_change,bonds,0.2383,65
2000,developed,fx_change,real_estate,0.147,65
2000,developed,fx_change,commodities,-0.092,65
2000,developed,fx_change,cash,-0.107,65
2000,developed,biz_confidence,equities,0.1748,65
2000,developed,biz_confidence,bonds,-0.0316,65
2000,developed,biz_confidence,real_estate,0.3198,65
2000,developed,biz_confidence,commodities,-0.2451,65
2000,developed,biz_confidence,cash,-0.2271,65
2001,developed,gdp_growth,equities,0.1559,65
2001,developed,gdp_growth,bonds,-0.1849,65
2001,developed,gdp_growth,real_estate,0.4023,65
2001,developed,gdp_growth,commodities,-0.1568,65
2001,developed,gdp_growth,cash,-0.0754,65
2001,developed,inflation,equities,-0.1683,65
2001,developed,inflation,bonds,-0.4061,65
2001,developed,inflation,real_estate,-0.1936,65
2001,developed,inflation,commodities,0.0917,65
2001,developed,inflation,cash,0.5037,65
2001,developed,policy_rate,equities,-0.2035,65
2001,developed,policy_rate,bonds,-0.15,65
2001,developed,policy_rate,real_estate,-0.3185,65
2001,developed,policy_rate,commodities,-0.024,65
2001,developed,policy_rate,cash,0.9661,65
2001,developed,unemployment,equities,-0.0992,65
2001,developed,unemployment,bonds,0.1955,65
2001,developed,unemployment,real_estate,-0.1655,65
2001,developed,unemployment,commodities,0.1212,65
2001,developed,unemployment,cash,-0.0754,65
2001,developed,current_account,equities,-0.094,65
2001,developed,current_account,bonds,0.0185,65
2001,developed,current_account,real_estate,0.1305,65
2001,developed,current_account,commodities,0.2262,65
2001,developed,current_account,cash,-0.2325,65
2001,developed,debt_to_gdp,equities,-0.0346,65
2001,developed,debt_to_gdp,bonds,-0.0219,65
2001,developed,debt_to_gdp,real_estate,-0.1151,65
2001,developed,debt_to_gdp,commodities,0.101,65
2001,developed,debt_to_gdp,cash,0.0942,65
2001,developed,fx_change,equities,0.2137,65
2001,developed,fx_change,bonds,0.1852,65
2001,developed,fx_change,real_estate,0.1051,65
2001,developed,fx_change,commodities,-0.1527,65
2001,developed,fx_change,cash,-0.054,65
2001,developed,biz_confidence,equities,0.1209,65
2001,developed,biz_confidence,bonds,-0.0056,65
2001,developed,biz_confidence,real_estate,0.3253,65
2001,developed,biz_confidence,commodities,-0.0864,65
2001,developed,biz_confidence,cash,-0.2088,65
2002,developed,gdp_growth,equities,0.1287,65
2002,developed,gdp_growth,bonds,-0.1993,65
2002,developed,gdp_growth,real_estate,0.4445,65
2002,developed,gdp_growth,commodities,-0.1124,65
2002,developed,gdp_growth,cash,0.0661,65
2002,developed,inflation,equities,-0.187,65
2002,developed,inflation,bonds,-0.3942,65
2002,developed,inflation,real_estate,-0.0127,65
2002,developed,inflation,commodities,0.1957,65
2002,developed,inflation,cash,0.4265,65
2002,developed,policy_rate,equities,-0.171,65
2002,developed,policy_rate,bonds,-0.1245,65
2002,developed,policy_rate,real_estate,-0.1425,65
2002,developed,policy_rate,commodities,0.0043,65
2002,developed,policy_rate,cash,0.9578,65
2002,developed,unemployment,equities,-0.1091,65
2002,developed,unemployment,bonds,0.2116,65
2002,developed,unemployment,real_estate,-0.2849,65
2002,developed,unemployment,commodities,0.0942,65
2002,developed,unemployment,cash,-0.1597,65
2002,developed,current_account,equities,-0.1089,65
2002,developed,current_account,bonds,-0.0757,65
2002,developed,current_account,real_estate,0.0555,65
2002,developed,current_account,commodities,0.3503,65
2002,developed,current_account,cash,-0.2258,65
2002,developed,debt_to_gdp,equities,-0.0025,65
2002,developed,debt_to_gdp,bonds,-0.0619,65
2002,developed,debt_to_gdp,real_estate,-0.2654,65
2002,developed,debt_to_gdp,commodities,0.0947,65
2002,developed,debt_to_gdp,cash,0.1077,65
2002,developed,fx_change,equities,0.2434,65
2002,developed,fx_change,bonds,0.1733,65
2002,developed,fx_change,real_estate,0.0679,65
2002,developed,fx_change,commodities,-0.1343,65
2002,developed,fx_change,cash,-0.0192,65
2002,developed,biz_confidence,equities,0.1698,65
2002,developed,biz_confidence,bonds,-0.0313,65
2002,developed,biz_confidence,real_estate,0.3427,65
2002,developed,biz_confidence,commodities,-0.0923,65
2002,developed,biz_confidence,cash,-0.0968,65
2003,developed,gdp_growth,equities,0.1362,65
2003,developed,gdp_growth,bonds,-0.1752,65
2003,developed,gdp_growth,real_estate,0.4104,65
2003,developed,gdp_growth,commodities,-0.0552,65
2003,developed,gdp_growth,cash,0.1221,65
2003,developed,inflation,equities,-0.132,65
2003,developed,inflation,bonds,-0.3462,65
2003,developed,inflation,real_estate,0.1452,65
2003,developed,inflation,commodities,0.124,65
2003,developed,inflation,cash,0.4171,65
2003,developed,policy_rate,equities,-0.1125,65
2003,developed,policy_rate,bonds,-0.0964,65
2003,developed,policy_rate,real_estate,-0.1453,65
2003,developed,policy_rate,commodities,-0.0169,65
2003,developed,policy_rate,cash,0.9582,65
2003,developed,unemployment,equities,-0.0708,65
2003,developed,unemployment,bonds,0.1693,65
2003,developed,unemployment,real_estate,-0.1988,65
2003,developed,unemployment,commodities,0.0512,65
2003,developed,unemployment,cash,-0.218,65
2003,developed,current_account,equities,-0.0083,65
2003,developed,current_account,bonds,0.0228,65
2003,developed,current_account,real_estate,0.0424,65
2003,developed,current_account,commodities,0.0839,65
2003,developed,current_account,cash,-0.2121,65
2003,developed,debt_to_gdp,equities,-0.1524,65
2003,developed,debt_to_gdp,bonds,-0.1479,65
2003,developed,debt_to_gdp,real_estate,-0.222,65
2003,developed,debt_to_gdp,commodities,0.1158,65
2003,developed,debt_to_gdp,cash,0.1395,65
2003,developed,fx_change,equities,0.3084,65
2003,developed,fx_change,bonds,0.1362,65
2003,developed,fx_change,real_estate,-0.0347,65
2003,developed,fx_change,commodities,-0.1572,65
2003,developed,fx_change,cash,0.0776,65
2003,developed,biz_confidence,equities,0.196,65
2003,developed,biz_confidence,bonds,-0.0323,65
2003,developed,biz_confidence,real_estate,0.3707,65
2003,developed,biz_confidence,commodities,-0.0011,65
2003,developed,biz_confidence,cash,-0.0574,65
2004,developed,gdp_growth,equities,0.172,65
2004,developed,gdp_growth,bonds,-0.3048,65
2004,developed,gdp_growth,real_estate,0.3144,65
2004,developed,gdp_growth,commodities,-0.0113,65
2004,developed,gdp_growth,cash,0.2045,65
2004,developed,inflation,equities,-0.1284,65
2004,developed,inflation,bonds,-0.327,65
2004,developed,inflation,real_estate,0.1122,65
2004,developed,inflation,commodities,0.0163,65
2004,developed,inflation,cash,0.3977,65
2004,developed,policy_rate,equities,-0.0671,65
2004,developed,policy_rate,bonds,0.0083,65
2004,developed,policy_rate,real_estate,-0.2085,65
2004,developed,policy_rate,commodities,-0.1553,65
2004,developed,policy_rate,cash,0.9372,65
2004,developed,unemployment,equities,-0.0776,65
2004,developed,unemployment,bonds,0.2041,65
2004,developed,unemployment,real_estate,-0.1388,65
2004,developed,unemployment,commodities,0.0253,65
2004,developed,unemployment,cash,-0.3411,65
2004,developed,current_account,equities,0.1057,65
2004,developed,current_account,bonds,0.0438,65
2004,developed,current_account,real_estate,0.066,65
2004,developed,current_account,commodities,0.1087,65
2004,developed,current_account,cash,-0.1396,65
2004,developed,debt_to_gdp,equities,-0.1764,65
2004,developed,debt_to_gdp,bonds,-0.0427,65
2004,developed,debt_to_gdp,real_estate,-0.246,65
2004,developed,debt_to_gdp,commodities,0.0525,65
2004,developed,debt_to_gdp,cash,0.2597,65
2004,developed,fx_change,equities,0.2646,65
2004,developed,fx_change,bonds,0.0388,65
2004,developed,fx_change,real_estate,-0.1567,65
2004,developed,fx_change,commodities,-0.1533,65
2004,developed,fx_change,cash,0.1222,65
2004,developed,biz_confidence,equities,0.2161,65
2004,developed,biz_confidence,bonds,-0.1271,65
2004,developed,biz_confidence,real_estate,0.298,65
2004,developed,biz_confidence,commodities,0.0927,65
2004,developed,biz_confidence,cash,0.1244,65
2005,developed,gdp_growth,equities,0.2066,65
2005,developed,gdp_growth,bonds,-0.3073,65
2005,developed,gdp_growth,real_estate,0.3195,65
